date version nhelpfiles nobjects ndatasets Rlines srclines
"2020-12-13" "1.3-0" 133 282 0 10490 3080
"2021-01-07" "1.65-0" 133 282 0 10491 3081
"2021-01-07" "1.65-0" 133 282 0 10491 3081
"2021-01-10" "1.65-1" 133 282 0 10491 3081
"2021-01-24" "1.65-2" 133 282 0 10491 3081
"2021-01-30" "1.65-3" 133 282 0 10491 3081
"2021-02-02" "1.65-4" 133 282 0 10492 3081
"2021-03-03" "1.65-8" 133 282 0 10492 3081
"2021-03-13" "1.65-9" 133 282 0 10492 3081
"2021-03-13" "1.65-9" 133 282 0 10492 3081
"2021-03-13" "1.65-9" 133 282 0 10492 3081
"2021-03-13" "1.65-9" 133 282 0 10492 3081
"2021-03-18" "2.0-0" 133 282 0 10509 3081
"2021-03-18" "2.0-0" 133 282 0 10509 3081
"2021-03-26" "2.1-0" 134 283 0 10595 3081
"2021-03-28" "2.1-1" 134 283 0 10595 3081
"2021-06-21" "2.2-0" 134 283 0 10599 3081
"2021-06-21" "2.2-0" 134 283 0 10599 3081
"2021-06-22" "2.2-1" 134 283 0 10599 3081
"2021-07-16" "2.3-0" 137 287 0 10920 3232
"2021-12-11" "2.3-1" 138 289 0 10947 3232
"2021-12-11" "2.3-1" 138 289 0 10947 3232
"2022-02-12" "2.3-2" 138 289 0 10947 3232
"2022-11-08" "3.0-2" 148 306 0 12068 3270
"2023-01-27" "3.0-4" 148 307 0 12106 3270
"2023-02-20" "3.0-5" 148 307 0 12155 3270
"2023-02-20" "3.0-6" 148 307 0 12155 3270
"2023-04-14" "3.1-0" 148 307 0 12248 3270
"2023-05-13" "3.1-1" 148 307 0 12268 3270
"2023-10-22" "3.1-2" 148 307 0 12268 3270
"2023-10-28" "3.1-3" 148 307 0 12268 3270
"2024-02-04" "3.1-4" 148 312 0 12340 3270
"2024-03-24" "3.1-5" 148 312 0 12343 3270
"2024-07-09" "3.2-1" 148 324 0 12882 3270
"2024-09-18" "3.2-2" 148 324 0 12882 3270
"2024-11-19" "3.2-3" 148 324 0 12980 3270
"2025-01-21" "3.2-4" 148 324 0 12980 3270
"2025-01-22" "3.2-5" 148 324 0 12980 3270
"2025-05-23" "3.2-6" 148 324 0 12974 3270
"2025-07-24" "3.3-0" 150 328 0 13326 3270
"2025-07-24" "3.3-1" 150 328 0 13326 3270
"2025-09-24" "3.3-2" 150 328 0 13356 3270
"2025-11-29" "3.4-0" 160 370 0 14990 3270
"2026-01-19" "3.4-0.020" 162 374 0 15506 3270
